Vetor_Terra_Venus    ;          ;          ;          ;          ;
X                    ; Y        ; Z        ; VX       ; VY       ; VZ
-1,44E+00            ; -3,01E+00; 8,55E-01 ; 6,84E-03 ; -3,52E-03; 8,71E-04
-1,44E+00            ; -3,01E+00; 8,56E-01 ; 6,85E-03 ; -3,50E-03; 8,65E-04
                     ;          ;          ;          ;          ;
Vetor_Venus_Venus    ;          ;          ;          ;          ;
X                    ; Y        ; Z        ; VX       ; VY       ; VZ
1,05E-03             ; -3,26E+00; 9,04E-01 ; 7,86E-03 ; 9,64E-04 ; -3,86E-04
8,92E-03             ; -3,26E+00; 9,04E-01 ; 7,86E-03 ; 9,89E-04 ; -3,93E-04
                     ;          ;          ;          ;          ;
Vetor_Venus_Terra    ;          ;          ;          ;          ;
X                    ; Y        ; Z        ; VX       ; VY       ; VZ
2,28E+00             ; -5,25E-01; 1,11E-01 ; -7,07E-04; 1,14E-02 ; -3,15E-03
2,28E+00             ; -5,13E-01; 1,08E-01 ; -7,60E-04; 1,14E-02 ; -3,16E-03
                     ;          ;          ;          ;          ;
Vetor_Terra_Jupiter  ;          ;          ;          ;          ;
X                    ; Y        ; Z        ; VX       ; VY       ; VZ
8,24E-01             ; -5,85E-01; 4,49E-05 ; 1,79E-02 ; 9,53E-03 ; -3,45E-04
8,43E+00             ; -5,73E-01; -2,33E-04; 1,86E-02 ; 1,27E-02 ; -2,63E-04
                     ;          ;          ;          ;          ;
Vetor_Jupiter_Saturno;          ;          ;          ;          ;
X                    ; Y        ; Z        ; VX       ; VY       ; VZ
-2,68E+00            ; -1,19E-01; 7,38E-02 ; -2,68E-03; -9,68E-03; 2,72E-03
-2,69E+00            ; -1,29E-01; 7,65E-02 ; -2,64E-03; -9,68E-03; 2,72E-03
